	time		p1		p2
   3.3100000e+00   3.7873881e-01  -1.3472574e-02
   3.3200000e+00   3.7873869e-01  -1.3472576e-02
   3.3300000e+00   3.7873857e-01  -1.3472578e-02
   3.3400000e+00   3.7873844e-01  -1.3472579e-02
   3.3500000e+00   3.7873832e-01  -1.3472581e-02
   3.3600000e+00   3.7873819e-01  -1.3472583e-02
   3.3700000e+00   3.7873807e-01  -1.3472584e-02
   3.3800000e+00   3.7873795e-01  -1.3472586e-02
   3.3900000e+00   3.7873782e-01  -1.3472588e-02
   3.4000000e+00   3.7873770e-01  -1.3472590e-02
   3.4100000e+00   3.7873758e-01  -1.3472591e-02
   3.4200000e+00   3.7873745e-01  -1.3472593e-02
   3.4300000e+00   3.7873733e-01  -1.3472595e-02
   3.4400000e+00   3.7873720e-01  -1.3472596e-02
   3.4500000e+00   3.7873708e-01  -1.3472598e-02
   3.4600000e+00   3.7873696e-01  -1.3472600e-02
   3.4700000e+00   3.7873683e-01  -1.3472602e-02
   3.4800000e+00   3.7873671e-01  -1.3472603e-02
   3.4900000e+00   3.7873659e-01  -1.3472605e-02
   3.5000000e+00   3.7873646e-01  -1.3472607e-02
   3.5100000e+00   3.7873634e-01  -1.3472608e-02
   3.5200000e+00   3.7873622e-01  -1.3472610e-02
   3.5300000e+00   3.7873609e-01  -1.3472612e-02
   3.5400000e+00   3.7873597e-01  -1.3472613e-02
   3.5500000e+00   3.7873585e-01  -1.3472615e-02
   3.5600000e+00   3.7873572e-01  -1.3472617e-02
   3.5700000e+00   3.7873560e-01  -1.3472619e-02
   3.5800000e+00   3.7873547e-01  -1.3472620e-02
   3.5900000e+00   3.7873535e-01  -1.3472622e-02
   3.6000000e+00   3.7873523e-01  -1.3472624e-02
   3.6100000e+00   3.7873510e-01  -1.3472625e-02
   3.6200000e+00   3.7873498e-01  -1.3472627e-02
   3.6300000e+00   3.7873486e-01  -1.3472629e-02
   3.6400000e+00   3.7873473e-01  -1.3472631e-02
   3.6500000e+00   3.7873461e-01  -1.3472632e-02
   3.6600000e+00   3.7873449e-01  -1.3472634e-02
   3.6700000e+00   3.7873436e-01  -1.3472636e-02
   3.6800000e+00   3.7873424e-01  -1.3472637e-02
   3.6900000e+00   3.7873412e-01  -1.3472639e-02
   3.7000000e+00   3.7873399e-01  -1.3472641e-02
   3.7100000e+00   3.7873387e-01  -1.3472643e-02
   3.7200000e+00   3.7873375e-01  -1.3472644e-02
   3.7300000e+00   3.7873362e-01  -1.3472646e-02
   3.7400000e+00   3.7873350e-01  -1.3472648e-02
   3.7500000e+00   3.7873338e-01  -1.3472649e-02
   3.7600000e+00   3.7873325e-01  -1.3472651e-02
   3.7700000e+00   3.7873313e-01  -1.3472653e-02
   3.7800000e+00   3.7873301e-01  -1.3472654e-02
   3.7900000e+00   3.7873288e-01  -1.3472656e-02
   3.8000000e+00   3.7873276e-01  -1.3472658e-02
   3.8100000e+00   3.7873264e-01  -1.3472660e-02
   3.8200000e+00   3.7873251e-01  -1.3472661e-02
   3.8300000e+00   3.7873239e-01  -1.3472663e-02
   3.8400000e+00   3.7873227e-01  -1.3472665e-02
   3.8500000e+00   3.7873214e-01  -1.3472666e-02
   3.8600000e+00   3.7873202e-01  -1.3472668e-02
   3.8700000e+00   3.7873190e-01  -1.3472670e-02
   3.8800000e+00   3.7873177e-01  -1.3472672e-02
   3.8900000e+00   3.7873165e-01  -1.3472673e-02
   3.9000000e+00   3.7873153e-01  -1.3472675e-02
   3.9100000e+00   3.7873140e-01  -1.3472677e-02
   3.9200000e+00   3.7873128e-01  -1.3472678e-02
   3.9300000e+00   3.7873116e-01  -1.3472680e-02
   3.9400000e+00   3.7873103e-01  -1.3472682e-02
   3.9500000e+00   3.7873091e-01  -1.3472683e-02
   3.9600000e+00   3.7873079e-01  -1.3472685e-02
